"timestamp","total_cpu_pct","pid","name","cpu_total_sec","handles","mem_mb","threads"
"2026-09-18T22:00:33.3767060+09:00","97","19092","chrome","833.14","2648","332.7","45"
"2026-09-18T22:00:33.3767060+09:00","97","37000","ChatGPT","826.02","846","89.5","39"
"2026-09-18T22:00:33.3767060+09:00","97","3032","rustdesk","735.11","272","24","12"
"2026-09-18T22:00:33.3767060+09:00","97","60496","claude","620.8","2028","429.1","68"
"2026-09-18T22:00:33.3767060+09:00","97","48048","chrome","497.69","773","61.7","18"
"2026-09-18T22:00:33.3767060+09:00","97","52816","python","489.8","333","119.5","17"
"2026-09-18T22:00:33.3767060+09:00","97","51064","WindowsTerminal","419.66","1111","202.2","53"
"2026-09-18T22:00:33.3767060+09:00","97","76500","pythonw","363.25","438","24.4","14"
"2026-09-18T22:00:33.3767060+09:00","97","69260","claude","351.38","309","519.6","23"
"2026-09-18T22:00:33.3767060+09:00","97","37520","caddy","340.58","415","41.2","15"
"2026-09-18T22:00:33.3767060+09:00","97","66092","explorer","306.52","4970","300.8","121"
"2026-09-18T22:00:33.3767060+09:00","97","22396","sakura","303.09","311","21.8","4"
"2026-09-18T22:00:33.3767060+09:00","97","27244","OneDrive.Sync.Service","266.58","629","33.4","20"
"2026-09-18T22:00:33.3767060+09:00","97","17552","python","261.42","225","26.5","5"
"2026-09-18T22:00:33.3767060+09:00","97","10144","Typeless","243.05","372","151.4","17"
"2026-09-18T22:00:33.3767060+09:00","97","6992","ctfmon","238.3","897","116.2","17"
"2026-09-18T22:00:33.3767060+09:00","97","8120","taskhostw","227.91","323","21.2","10"
"2026-09-18T22:00:33.3767060+09:00","97","66836","pythonw","223.92","1661","28.9","10"
"2026-09-18T22:00:33.3767060+09:00","97","23844","hbbr","213.55","100","1.8","9"
"2026-09-18T22:00:33.3767060+09:00","97","85496","claude","205.11","316","281","22"
"2026-09-18T22:00:33.3767060+09:00","97","28796","codex","203.22","515","196.4","42"
"2026-09-18T22:00:33.3767060+09:00","97","45528","chrome","199.22","251","25.2","11"
"2026-09-18T22:00:33.3767060+09:00","97","87380","claude","195.09","313","262.8","22"
"2026-09-18T22:00:33.3767060+09:00","97","75480","pythonw","186.77","801","29.8","5"
"2026-09-18T22:00:33.3767060+09:00","97","13816","python","181.16","235","32.6","2"
"2026-09-18T22:10:42.2424620+09:00","100","8136","pythonw","42997.14","320","65.4","14"
"2026-09-18T22:10:42.2424620+09:00","100","63384","python","6280.64","435","64.1","24"
"2026-09-18T22:10:42.2424620+09:00","100","17420","python","3271.94","325","34.1","15"
"2026-09-18T22:10:42.2424620+09:00","100","20908","Taskmgr","2798.55","1961","266.9","29"
"2026-09-18T22:10:42.2424620+09:00","100","9292","claude","2146.23","368","228.2","22"
"2026-09-18T22:10:42.2424620+09:00","100","22260","chrome","2033.48","384","222.5","22"
